Jodie Meeks,SG,29,dislocated right thumb,2,61,210,Average Weight,193.04,Average,4,25.2,3.6,7.5,1.3,1.3,0.1,2.4,1.9,1.3,0.2,1.7,1.4,10.2,7.7,11,18.5,3,7.6,2.4,2.8,0.2,2.1,0.6,0.6,0.2,0.8,0.9,10.1,6.6,12.84,Overperformed
Russell Westbrook,PG,29,right knee injury,2,5,200,Average Weight,190.5,Average,5,38,9,20.8,5.9,8,2.4,10.1,9.9,2.2,0.3,5,3.4,24,21.6,20.46,31.5,9.6,19.6,4.7,7.4,0.6,7.3,8,2.1,0.1,4.1,3,22.9,19.2,21.94,Equal
Ty Lawson,PG,29,adductor muscle injury,2,14,195,Average Weight,180.34,Underaverage,6,23,3.7,7.4,2.2,2.5,0.6,1.7,5.5,1.1,0.2,1.9,1.7,10.1,10,15.65,28.7,3.6,8.7,2.7,3.2,0.9,1.7,5.5,1.1,0,2.2,2.9,9.9,8.2,10.29,Underperformed
Sergio Rodriguez,SG,30,sprained left ankle,2,9,176,Underweight,190.5,Underaverage,3,26,4.6,10.5,0.2,0.3,0.4,2.2,4.8,1.1,0,2,2.1,11.7,8.8,12.18,19.1,2.4,6.8,0.3,0.6,0.2,1.7,4.1,0.7,0,1.7,1.1,5.7,4.1,7.73,Underperformed
Ersan Ilyasova,PF,31,fractured nose,2,18,235,Average Weight,205.74,Average,14,15.6,2.1,6.2,1.2,1.3,1.4,2.7,0.9,0.4,0.3,1,2.4,6.2,3.8,8.77,15.6,2.5,5.2,0,0,0.9,2.4,0.6,1,0.2,0.6,1.9,5.7,4.6,10.62,Overperformed
Luc Mbah a Moute,SF,31,dislocated right shoulder,2,31,230,Overweight,203.2,Overaverage,6,21.8,1.6,4,0.3,0.6,0.4,2.7,0.8,1,0.5,0.7,1,4.2,4.1,6.77,29.6,2.9,6.7,1.4,1.9,0.3,2.8,1.1,1.2,0.2,1.4,1.6,8,5.8,7.05,Equal
Mario Chalmers,PG,31,right hamstring injury,2,13,190,Average Weight,187.96,Average,9,22.5,2.8,7.4,2.1,2.3,0.1,0.6,3,1.1,0.2,2.3,3.4,8.4,4.4,7.04,17,2.4,5.4,1.7,1.9,0.2,2.1,2.3,1,0.3,2,2.1,7.2,5.2,11.01,Overperformed
P.J. Tucker,PF,31,lower back injury,2,66,245,Overweight,195.98,Underaverage,3,21.4,4.5,10.3,2.7,3,3.4,5.6,3.6,1.4,0.1,2,2.8,12.5,12.1,20.36,18.6,1.1,3.2,1.4,1.7,1.2,3.3,1,1.3,0.3,0.8,2,3.4,4.2,8.13,Underperformed
Chris Paul,PG,32,strained right hamstring,2,516,175,Underweight,182.88,Underaverage,9,31.7,6.4,14.3,2.9,3.1,0.8,4.5,7,1.1,0.1,1.8,2.3,18.4,16.3,18.51,35.5,6,14.8,3.3,4.3,0.8,4.4,7.9,2.6,0.3,3,2.9,16.5,15,15.21,Underperformed
DeMarre Carroll,SF,32,hyperextended left knee,2,3,215,Average Weight,198.12,Average,19,22.7,3,6.6,2.7,3.6,0.8,5,1.1,0.3,0.1,1.4,1.5,10.1,8.2,13,27.9,3.9,9.8,2.5,3,1.1,3.8,1.2,0.4,0.2,1.1,2.5,11.8,7.9,11.9,Equal
